second,requests,rps,avg_latency_ms,p95_latency_ms,p99_latency_ms,success_count,error_count
5,3203,3203,15.60,19.84,43.09,3203,0
6,3221,3221,15.51,20.36,21.67,3221,0
7,3456,3456,14.46,17.61,18.65,3456,0
8,3394,3394,14.72,17.80,18.53,3394,0
9,3437,3437,14.54,17.79,18.39,3437,0
10,3502,3502,14.27,17.34,18.11,3502,0
11,3343,3343,14.95,19.19,20.67,3343,0
12,3357,3357,14.99,18.80,32.53,3357,0
13,3114,3114,15.94,21.32,22.80,3114,0
14,3453,3453,14.48,17.51,18.31,3453,0
15,3228,3228,15.53,21.00,35.82,3228,0
16,3217,3217,15.48,19.71,22.15,3217,0
17,3434,3434,14.55,17.47,18.42,3434,0
18,3352,3352,14.91,18.22,20.68,3352,0
19,3363,3363,14.86,17.87,18.91,3363,0
20,2480,2480,20.32,37.41,38.84,2480,0
21,1603,1603,31.33,46.34,51.25,1603,0
22,1508,1508,32.92,48.60,52.31,1508,0
23,2353,2353,21.11,25.59,29.11,2353,0
24,2748,2748,18.17,23.45,26.27,2748,0
25,3230,3230,15.48,18.39,36.42,3230,0
26,3195,3195,15.62,20.25,23.28,3195,0
27,2859,2859,17.68,36.52,99.22,2859,0
28,3173,3173,15.61,19.11,25.88,3173,0
29,3364,3364,14.82,18.48,20.02,3364,0
30,3294,3294,15.18,18.01,37.96,3294,0
31,3127,3127,16.02,23.19,27.71,3127,0
32,3290,3290,15.16,19.61,21.89,3290,0
33,3441,3441,14.51,17.09,21.42,3441,0
34,3402,3402,14.70,17.64,20.25,3402,0
35,3339,3339,14.95,18.00,35.30,3339,0
36,3360,3360,14.89,17.56,21.00,3360,0
37,3177,3177,15.71,20.75,25.19,3177,0
38,3274,3274,15.26,18.76,19.99,3274,0
39,3196,3196,15.65,20.01,25.81,3196,0
40,3239,3239,15.46,18.89,30.94,3239,0
41,3323,3323,14.99,18.06,19.03,3323,0
42,3126,3126,15.99,20.65,29.06,3126,0
43,3360,3360,14.88,17.85,24.31,3360,0
44,3298,3298,15.14,18.82,32.69,3298,0
45,3243,3243,16.30,19.20,98.51,3243,0
46,2950,2950,15.97,24.96,41.16,2950,0
47,2740,2740,18.26,34.59,100.49,2740,0
48,3387,3387,14.73,18.38,21.59,3387,0
49,2895,2895,17.28,31.11,98.35,2895,0
50,3367,3367,14.83,17.60,18.87,3367,0
51,3355,3355,14.90,18.31,22.84,3355,0
52,3146,3146,15.88,22.22,24.52,3146,0
53,3276,3276,15.27,18.39,22.15,3276,0
54,3345,3345,15.10,18.05,25.47,3345,0
55,3210,3210,15.39,19.13,36.43,3210,0
56,3434,3434,14.56,17.78,18.90,3434,0
57,3276,3276,15.24,19.67,20.71,3276,0
58,3239,3239,15.45,19.05,36.72,3239,0
59,3393,3393,14.70,18.16,20.77,3393,0
